,ANIO_CREACION,REG_NAT,AREA_PROTEC,DEMAR_HIDRO,DIR_ZON,DPA_PROVIN,DPA_DESPRO,DPA_CANTON,DPA_DESCAN,DPA_PARROQ,DPA_DESPAR,AREA,NAM,EDEL,SUP_HA
49,2019.0,REGIÓN ORIENTAL O AMAZÓNICA,nan,DEMARCACIàN HIDROGRµFICA PASTAZA,DIRECCIÓN ZONAL CHIMBORAZO,16,PASTAZA,1602,MERA,160250,MERA,URBANO,RÍO PINDO GRANDE,TERMINADO,"229,493092"
50,2018.0,REGIÓN ORIENTAL O AMAZÓNICA,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,15,NAPO,1507,QUIJOS,150753,PAPALLACTA,RURAL,PONCE PALUGUILLO,TERMINADO,"4,436909"
51,2018.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHINCHA,1701,DISTRITO METROPOLITANO DE QUITO,170175,PIFO,RURAL,PONCE PALUGUILLO,TERMINADO,"4256,188251"
52,2018.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,17,PICHIiNCHA,1702,CAYAMBE,170250,CAYAMBE,URBANO,KAYAMBI,TERMINADO,"2444,53092"
53,2018.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,99,PICHINCcHA,1702,CAYAMBE,170252,CANGAHUA,RURAL,KAYAMBI,TERMINADO,"1208,826556"
54,2018.0,REGIÓN SIERRA O INTERAnNDINA,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,99,PICHINCHA,1702,CAYAMBE,170253,OLMEDO,RURAL,KAYAMBI,TERMINADO,"3082,673332"
55,2018.0,REGIÓN SIERRA O INTERANDIN@,nan,DEMARCACIàN HIDROGRµFICA ESMERALDAS,DIRECCIÓN ZONAL ESMERALDAS,99,PICHINCHA,1702,CAYAMBE,170256,SAN JOSÉ DE AYORA,RuRAL,KAYAMBI,TERMINADO,"3184,529849"
56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,2020.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
64,2020.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
65,2020.0,.,.,999,.,.,.,.,.,.,.,.,.,.,.
66,2020.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
67,2020.0,.,.,.,999,.,.,.,.,.,.,.,.,.,.
