ANIO,FECHA_REGISTRO,REGION_FUENTE,NOMBRE_EXDH_DZ,PROVINCIA_FUENTE,CODIGO_DPA_CANTON,CANTON_FUENTE,PARROQUIA_FUENTE,TIPO_PARROQUIA_FUENTE,NOMBRE_EXCAC_OT,COORDENADA_X_FUENTE,COORDENADA_Y_FUENTE,COTA_FUENTE,PFAFSTETTER,SISTEMA_FUENTE,CUENCA_FUENTE,SUB_CUENCA_FUENTE,MICROCUENCA_FUENTE,TIPO_FUENTE,SITIO_CAPTACION_FUENTE,NOMBRE_FUENTE,NOMBRE_USO_APROVECHAMIENTO,NOMBRE_SUB_USO_APROVECHAMIENTO,GRUPO_USUARIO_AUTORIZADO,TIPO_USUARIO_AUTORIZADO,CODIGO_UNICO,CODIGO_PROCESO,ANIO_TRAMITE,NUMERO_PROCESO,CAUDAL_AUTORIZADO_LS,ESTADO_TRAMITE
2020.0,2020-03-26,ORIENTE,NAPO,PASTAZA,1603.0,SANTA CLARA,SANTA CLARA,CABECERA CANTONAL,TENA,849540.0,9863773.0,980.0,497897.0,NAPO,RIO NAPO,RIO NAPO,"DREN AL RIO NAPO, DESDE RIO MISAHUALLI HASTA ADJ RIO COCA",RIO,COMUNIDAD PIATUA / PARROQUIA SANTA CLARA,RIO PIATUA,GENERACION DE HIDROELECTRICIDAD Y ENERGIA HIDROTRMICA,USO HIDROELECTRICO EN GENERAL,COMPAÑIAS,PARTICULAR,NA-TE-000584-121195,NA-TE-000584-2015,2015.0,584.0,10500.0,CANCELADO
2020.0,2020-03-31,COSTA,GUAYAS,SANTA ELENA,2401.0,SANTA ELENA,MANGLARALTO,RURAL,SANTA ELENA,526301.0,9813908.0,47.0,15134.0,JIPIJAPA,RIO AYAMPE,RIO AYAMPE,DREN AL RIO AYAMPE,POZO,"PARROQUIA MANGLARALTO, COMUNA LA ENTRADA VIA A MANABI","POZOS 1, 2, 3, 4, 5 Y 6",RIEGO,USO EN GENERAL,COMPAÑIAS,PARTICULAR,GU-SE-000087-128646,GU-SE-000087-2016,2016.0,87.0,1.51,VIGENTE
2020.0,2020-03-31,COSTA,GUAYAS,SANTA ELENA,2401.0,SANTA ELENA,MANGLARALTO,RURAL,SANTA ELENA,525247.0,9813399.0,68.0,15134.0,JIPIJAPA,RIO AYAMPE,RIO AYAMPE,DREN AL RIO AYAMPE,POZO,"PARROQUIA MANGLARALTO, COMUNA LA ENTRADA VIA A MANABI","POZOS 1, 2, 3, 4, 5 Y 6",CONSUMO HUMANO,USO EN GENERAL PARA AGUA POTABLE,COMPAÑIAS,PARTICULAR,GU-SE-000087-128641,GU-SE-000087-2016,2016.0,87.0,0.12,VIGENTE
2020.0,2020-03-31,COSTA,GUAYAS,SANTA ELENA,2401.0,SANTA ELENA,MANGLARALTO,RURAL,SANTA ELENA,526086.0,9813931.0,47.0,15134.0,JIPIJAPA,RIO AYAMPE,RIO AYAMPE,DREN AL RIO AYAMPE,POZO,"PARROQUIA MANGLARALTO, COMUNA LA ENTRADA VIA A MANABI","POZOS 1, 2, 3, 4, 5 Y 6",ABREVADERO SOBERANIA ALIMENTARIA,USO DE ABREVADERO EN GENERAL,COMPAÑIAS,PARTICULAR,GU-SE-000087-128642,GU-SE-000087-2016,2016.0,87.0,0.043,VIGENTE
2020.0,2020-03-09,SIERRA,JUBONES,AZUAY,108.0,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),CABECERA CANTONAL,SANTA ISABEL,690558.0,9636443.0,1270.0,13945.0,JUBONES,RIO JUBONES,RIO RIRCAY,QUEBRADA PUERRES Y DREN AL RIO RIRCAY,QUEBRADA,SECTOR LACAY BAJO - SANTA ISABEL - AZUAY,QUEBRADA EL LIMON,ABREVADERO SOBERANIA ALIMENTARIA,VACUNO,"PROCURADORES COMUNES, REPRESENTANTES LEGALES",PARTICULAR,JU-SI-001305-129670,JU-SI-001305-2015,2015.0,1305.0,0.0234,VIGENTE
2020.0,2020-03-09,SIERRA,JUBONES,AZUAY,108.0,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),CABECERA CANTONAL,SANTA ISABEL,690558.0,9636443.0,1270.0,13945.0,JUBONES,RIO JUBONES,RIO RIRCAY,QUEBRADA PUERRES Y DREN AL RIO RIRCAY,QUEBRADA,SECTOR LACAY BAJO - SANTA ISABEL - AZUAY,QUEBRADA EL LIMON,RIEGO,USO EN GENERAL,"PROCURADORES COMUNES, REPRESENTANTES LEGALES",PARTICULAR,JU-SI-001305-129671,JU-SI-001305-2015,2015.0,1305.0,2.3641,VIGENTE
2020.0,2020-03-10,SIERRA,JUBONES,AZUAY,108.0,SANTA ISABEL,ZHAGLLI (SHAGLLI),RURAL,SANTA ISABEL,675919.0,9650767.0,2836.0,13944.0,JUBONES,RIO JUBONES,RIO SAN FRANCISCO,RIO MASUCA Y DREN AL RIO SAN FRANCISCO,QUEBRADA,SECTOR BUENA VISTA-SHAGLLI - SANTA ISABEL-AZUAY,QUEBRADA GUADARIN,ABREVADERO SOBERANIA ALIMENTARIA,VACUNO,"PROCURADORES COMUNES, REPRESENTANTES LEGALES",PARTICULAR,JU-SI-001461-129422,JU-SI-001461-2015,2015.0,1461.0,0.0437,VIGENTE
2020.0,2020-03-12,SIERRA,JUBONES,AZUAY,108.0,SANTA ISABEL,ABDON CALDERON (LA UNION),RURAL,SANTA ISABEL,691290.0,9639743.0,1363.0,13946.0,JUBONES,RIO JUBONES,RIO RIRCAY,RIO NARANJO (SUBCUENCA RIO RIRCAY),"VERTIENTES, MANANTIAL, ACUIFERO",ABDON CALDERON - SANTA ISABEL - AZUAY,"EL CAUCHO, EL TANQUE NØ1 Y EL TANQUE NØ2",ABREVADERO SOBERANIA ALIMENTARIA,USO DE ABREVADERO EN GENERAL,"PROCURADORES COMUNES, REPRESENTANTES LEGALES",PARTICULAR,JU-SI-005750-116853,JU-SI-005750-2013,2013.0,5750.0,0.0009,VIGENTE
2020.0,2020-03-12,SIERRA,JUBONES,AZUAY,108.0,SANTA ISABEL,ABDON CALDERON (LA UNION),RURAL,SANTA ISABEL,691290.0,9639743.0,1363.0,13946.0,JUBONES,RIO JUBONES,RIO RIRCAY,RIO NARANJO (SUBCUENCA RIO RIRCAY),"VERTIENTES, MANANTIAL, ACUIFERO",ABDON CALDERON - SANTA ISABEL - AZUAY,"EL CAUCHO, EL TANQUE NØ1 Y EL TANQUE NØ2",CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PROCURADORES COMUNES, REPRESENTANTES LEGALES",PARTICULAR,JU-SI-005750-116847,JU-SI-005750-2013,2013.0,5750.0,0.04,VIGENTE
2020.0,2020-01-16,SIERRA,JUBONES,LOJA,1111.0,SARAGURO,MANU,RURAL,SANTA ISABEL,676899.0,9613940.0,2354.0,13945.0,JUBONES,RIO JUBONES,RIO JUBONES MEDIO,RIO UCHUCAY,"VERTIENTES, MANANTIAL, ACUIFERO",MACHAY - MANU,VERTIENTE EUCALIPTO,RIEGO,CULTIVOS VARIOS,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,JU-SI-003435-123406,JU-SI-003435-2003,2003.0,3435.0,0.2,CANCELADO
