ANIO,FECHA_REGISTRO,REGION_FUENTE,NOMBRE_EXDH_DZ,PROVINCIA_FUENTE,CODIGO_DPA_CANTON,CANTON_FUENTE,PARROQUIA_FUENTE,TIPO_PARROQUIA_FUENTE,NOMBRE_EXCAC_OT,COORDENADA_X_FUENTE,COORDENADA_Y_FUENTE,COTA_FUENTE,PFAFSTETTER,SISTEMA_FUENTE,CUENCA_FUENTE,SUB_CUENCA_FUENTE,MICROCUENCA_FUENTE,TIPO_FUENTE,SITIO_CAPTACION_FUENTE,NOMBRE_FUENTE,NOMBRE_USO_APROVECHAMIENTO,NOMBRE_SUB_USO_APROVECHAMIENTO,GRUPO_USUARIO_AUTORIZADO,TIPO_USUARIO_AUTORIZADO,CODIGO_UNICO,CODIGO_PROCESO,ANIO_TRAMITE,NUMERO_PROCESO,CAUDAL_AUTORIZADO_LS,ESTADO_TRAMITE
2020.0,2020-09-29,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,EL ANEGADO (CAB. EN ELOY ALFARO),RURAL,JIPIJAPA,558104.0,9835299.0,322.0,0.0,GUAYAS,RIO GUAYAS,RIO DAULE,RIO COLIMES,"VERTIENTES, MANANTIAL, ACUIFERO",RIO SUCRE / VERTIENTE,RIO SUCRE / VERTIENTE,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"ASOCIACIONES VARIAS, INMOBILIARIAS",PARTICULAR,MA-JI-000027-120402,MA-JI-000027-2013,2013.0,27.0,8.19,VIGENTE
2020.0,2020-09-29,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,530081.0,9858412.0,60.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000009-120347,MA-JI-000009-2014,2014.0,9.0,2.0,VIGENTE
2020.0,2020-09-29,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,527829.0,9861817.0,32.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,PUERTO CAYO  / MANANTIALES,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000017-120394,MA-JI-000017-2012,2012.0,17.0,0.09,VIGENTE
2020.0,2020-09-29,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PEDRO PABLO GOMEZ,RURAL,JIPIJAPA,549699.0,9822699.0,430.0,0.0,JIPIJAPA,RIO BUENAVISTA,RIO BUENAVISTA,RIO BUENAVISTA (SUBCUENCA RIO BUENAVISTA),"VERTIENTES, MANANTIAL, ACUIFERO",RIO BUENAVISTA / PEDRO PABLO GOMEZ,RIO BUENAVISTA / VERTIENTE,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"ASOCIACIONES VARIAS, INMOBILIARIAS",PARTICULAR,MA-JI-000492-120400,MA-JI-000492-2011,2011.0,492.0,0.374,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,528138.0,9861980.0,40.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,PUERTO CAYO  / MANANTIALES,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000021-120399,MA-JI-000021-2012,2012.0,21.0,0.12,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,526555.0,9855752.0,23.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,CANTAGALLO / LA BOCA,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000009-120392,MA-JI-000009-2012,2012.0,9.0,2.5,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,526223.0,9857835.0,26.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000006-120398,MA-JI-000006-2012,2012.0,6.0,2.5,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,528714.0,9858516.0,62.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000004-120381,MA-JI-000004-2012,2012.0,4.0,7.5,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,LA UNION,RURAL,JIPIJAPA,560506.0,9841746.0,485.0,0.0,JIPIJAPA,RIO JIPIJAPA,RIO JIPIJAPA,RIO JIPIJAPA,"VERTIENTES, MANANTIAL, ACUIFERO",RIO JIPIJAPA / VERTIENTE,RIO JIPIJAPA,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"ASOCIACIONES VARIAS, INMOBILIARIAS",PARTICULAR,MA-JI-000491-120385,MA-JI-000491-2011,2011.0,491.0,0.311,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,529067.0,9858673.0,54.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000018-120351,MA-JI-000018-2014,2014.0,18.0,4.0,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,LA UNION,RURAL,JIPIJAPA,561722.0,9839628.0,446.0,0.0,JIPIJAPA,RIO JIPIJAPA,RIO JIPIJAPA,RIO JIPIJAPA,"VERTIENTES, MANANTIAL, ACUIFERO",RIO JIPIJAPA / VERTIENTE,RIO JIPIJAPA / VERTIENTE,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"ASOCIACIONES VARIAS, INMOBILIARIAS",PARTICULAR,MA-JI-000485-120389,MA-JI-000485-2011,2011.0,485.0,0.113,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,527983.0,9856668.0,32.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000012-120365,MA-JI-000012-2014,2014.0,12.0,0.61,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,527956.0,9857044.0,41.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000011-120363,MA-JI-000011-2014,2014.0,11.0,0.69,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,528812.0,9856858.0,47.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000017-120362,MA-JI-000017-2014,2014.0,17.0,0.45,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,527940.0,9861944.0,39.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000008-120357,MA-JI-000008-2014,2014.0,8.0,0.22,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,528808.0,9860029.0,51.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000010-120366,MA-JI-000010-2014,2014.0,10.0,6.21,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,528016.0,9862040.0,41.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000013-120371,MA-JI-000013-2014,2014.0,13.0,0.22,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,EL ANEGADO (CAB. EN ELOY ALFARO),RURAL,JIPIJAPA,554139.0,9836851.0,548.0,0.0,GUAYAS,RIO GUAYAS,RIO DAULE,S/N (SUBCUENCA RIO DAULE),"VERTIENTES, MANANTIAL, ACUIFERO",RIO MISVAQUE / COMUNA SUCRE,RIO MISVAQUE / DOMESTICO,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000010-120369,MA-JI-000010-2012,2012.0,10.0,0.877,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,532066.0,9851794.0,22.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO / POZO,RIO CANTAGALLO / INDUSTRIAL,INDUSTRIAL,AGUA DE MESA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000025-120377,MA-JI-000025-2015,2015.0,25.0,0.13,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,AMRICA,RURAL,JIPIJAPA,560042.0,9838576.0,206.0,0.0,GUAYAS,RIO GUAYAS,RIO DAULE,S/N (SUBCUENCA RIO DAULE),POZO,RIO MISVAQUE / SITIO VARGAS TORRES,RIO MISVAQUE / DOMESTICO,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000039-120403,MA-JI-000039-2015,2015.0,39.0,0.234,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,528875.0,9859850.0,59.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO / POZO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000015-120417,MA-JI-000015-2014,2014.0,15.0,2.74,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,SITIO LA PITA,RURAL,JIPIJAPA,552427.0,9850307.0,408.0,0.0,JIPIJAPA,RIO JIPIJAPA,RIO JIPIJAPA,RIO JIPIJAPA,POZO,RIO JIPIJAPA / POZO,SITIO LA PITA / POZO,INDUSTRIAL,VENTAS DE AGUA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000003-120421,MA-JI-000003-2014,2014.0,3.0,1.8,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,EL ANEGADO / RECINTO PAN Y AGUA,RURAL,JIPIJAPA,548338.0,9838344.0,317.0,0.0,JIPIJAPA,RIO BUENAVISTA,RIO BUENAVISTA,RIO BUENAVISTA (SUBCUENCA RIO BUENAVISTA),POZO,RIO BUENAVISTA / EL ANEGADO,RIO BUENA VISTA / POZO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000024-120433,MA-JI-000024-2015,2015.0,24.0,0.3,VIGENTE
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,PUERTO DE CAYO,RURAL,JIPIJAPA,527976.0,9858131.0,58.0,0.0,JIPIJAPA,RIO CANTAGALLO,RIO CANTAGALLO,RIO CANTAGALLO,POZO,RIO CANTAGALLO / POZO,RIO CANTAGALLO / RIEGO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000033-120429,MA-JI-000033-2015,2015.0,33.0,0.15,CANCELADO
2020.0,2020-10-05,COSTA,MANABI,MANABI,1306.0,JIPIJAPA,EL ANEGADO,RURAL,JIPIJAPA,548420.0,9836572.0,326.0,0.0,JIPIJAPA,RIO BUENAVISTA,RIO BUENAVISTA,RIO BUENAVISTA (SUBCUENCA RIO BUENAVISTA),"VERTIENTES, MANANTIAL, ACUIFERO",RIO BUENA VISTA / EL ANEGADO,RIO BUENA VISTA / VERIENTE,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-JI-000043-128354,MA-JI-000043-2016,2016.0,43.0,0.23,VIGENTE
2020.0,2020-04-02,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,585716.0,9898358.0,67.0,0.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,SITIO PECHICHAL A UN COSTADO DE LA VIA PROPIEDAD DEL SR. ALFONSO SOLORZANO,POZO PROFUNDO Y SOMERO,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,JUNTAS ADMINISTRADORAS DE AGUA POTABLE,SECCIONAL,MA-CH-000036-119163,MA-CH-000036-2015,2015.0,36.0,1.64,VIGENTE
2020.0,2020-04-02,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,585687.0,9898376.0,65.0,0.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,PECHICHAL A UN COSTADO DE LA VIA JUNIN-PECHICHAL PROPIEDAD SR. JOSE LOOR,POZO PROFUNDO,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,JUNTAS ADMINISTRADORAS DE AGUA POTABLE,SECCIONAL,MA-CH-000040-120930,MA-CH-000040-2013,2013.0,40.0,0.82,VIGENTE
2020.0,2020-04-03,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,593121.0,9900473.0,74.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,SITIO MAICITO PROPIEDAD DEL SR. GERARDO ZAMBRANO,POZO ANILLADO,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,JUNTAS ADMINISTRADORAS DE AGUA POTABLE,SECCIONAL,MA-CH-000019-119168,MA-CH-000019-2015,2015.0,19.0,0.09,CANCELADO
2020.0,2020-08-04,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,588186.0,9897211.0,29.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,PREDIOS DE LA SOLICITANTE AVENIDA VELAZCO IBARRA,POZO SOMERO,INDUSTRIAL,LAVADORAS,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-CH-000013-119162,MA-CH-000013-2015,2015.0,13.0,0.058,VIGENTE
2020.0,2020-08-04,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,595250.0,9895020.0,89.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,"VERTIENTES, MANANTIAL, ACUIFERO",SITIO ANDARIELES PROPIEDAD DE LA SEÑORA JAHAIRA ALCIVAR,MANANTIAL,INDUSTRIAL,AVICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-CH-000081-127870,MA-CH-000081-2016,2016.0,81.0,0.08,VIGENTE
2020.0,2020-08-12,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,589649.0,9899255.0,29.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,SITIO HIGUERON KM 2 Y MEDIO DE LA VIA JUNIN CALCETA,POZO,RIEGO,CULTIVOS DE CICLO CORTO,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,MA-CH-000009-116937,MA-CH-000009-2015,2015.0,9.0,0.776,CANCELADO
2020.0,2020-08-12,COSTA,MANABI,MANABI,1307.0,JUNIN,JUNIN,CABECERA CANTONAL,CHONE,585298.0,9894812.0,87.0,15168.0,CHONE,RIO CHONE,RIO CARRIZAL,RIO MOSCA,POZO,SITIO TABLONES,POZO SOMERO,RIEGO,CULTIVO DE FRUTALES,COMPAÑIAS,PARTICULAR,MA-CH-000065-123457,MA-CH-000065-2015,2015.0,65.0,1.5,CANCELADO
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1029443.0,9967977.0,279.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO 25 DE DICIEMBRE / PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114578,NA-FO-000684-2014,2014.0,684.0,1.13,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1029173.0,9966211.0,278.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO SANTA RITA / PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114574,NA-FO-000684-2015,2015.0,684.0,0.78,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1029949.0,9968518.0,275.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO SANTA ROSA / PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114577,NA-FO-000684-2014,2014.0,684.0,2.89,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1029356.0,9967706.0,276.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO PRIMERO DE MAYO/ PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114579,NA-FO-000684-2014,2014.0,684.0,1.88,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1030061.0,9967074.0,281.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO ALBORADA / PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114576,NA-FO-000684-2014,2014.0,684.0,1.61,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1030143.0,9966301.0,280.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO OSCAR ROMERO / PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114575,NA-FO-000684-2014,2014.0,684.0,3.0,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,1028964.0,9964847.0,278.0,497879.0,NAPO,RIO NAPO,RIO NAPO,NO DETERMINADA,POZO,BARRIO LOS LAURELES / PARROQUIA LA JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000684-114573,NA-FO-000684-2014,2014.0,684.0,1.0,VIGENTE
2020.0,2020-09-08,ORIENTE,NAPO,ORELLANA,2203.0,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,CABECERA CANTONAL,PUERTO FRANCISCO DE ORELLANA,963949.0,9967960.0,263.0,497879.0,NAPO,RIO NAPO,RIO NAPO,"DREN AL RIO NAPO, DESDE RIO MISAHUALLI HASTA ADJ RIO COCA",POZO,CAMAL MUNICIPAL DE JOYA DE LOS SACHAS,POZO S/N,CONSUMO HUMANO,USO DOMESTICO EN GENERAL,"MUNICIPIOS, CONCEJOS",SECCIONAL,NA-FO-000385-122643,NA-FO-000385-2014,2014.0,385.0,0.05,VIGENTE
2020.0,2020-02-12,ORIENTE,NAPO,SUCUMBIOS,2101.0,LAGO AGRIO,DURENO,RURAL,NUEVA LOJA,972115.0,10006796.0,274.0,497865.0,NAPO,RIO NAPO,RIO AGUARICO,NO DETERMINADA,RIO,"VIA TARAPO KM 14 JUNTO A LA ESCUELA ANTISANA, PARROQUIA DURENO, CANTON LAGO AGRIO",RIO TETEYE,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,"PERSONAS NATURALES, HEREDEROS, FAMILIAS",PARTICULAR,NA-NL-000186-114932,NA-NL-000186-2012,2012.0,186.0,15.0,VIGENTE
2020.0,2020-03-05,ORIENTE,NAPO,SUCUMBIOS,2101.0,LAGO AGRIO,GENERAL FARFAN,RURAL,NUEVA LOJA,962842.0,10020965.0,313.0,497496.0,PUTUMAYO,RIO PUTUMAYO,RIO SAN MIGUEL (SUCUMBIOS),NO DETERMINADA,"VERTIENTES, MANANTIAL, ACUIFERO","RECINTO 9 DE MARZO, PARROQUIA GENERAL FARFAN, CANTON LAGO AGRIO",VERTIENTE SN,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,ORGANIZACIONES NO GUBERNAMENTALES,PARTICULAR,NA-NL-000532-111779,NA-NL-000532-2014,2014.0,532.0,0.48,VIGENTE
2020.0,2020-03-05,ORIENTE,NAPO,SUCUMBIOS,2101.0,LAGO AGRIO,GENERAL FARFAN,RURAL,NUEVA LOJA,962718.0,10021079.0,294.0,497496.0,PUTUMAYO,RIO PUTUMAYO,RIO SAN MIGUEL (SUCUMBIOS),NO DETERMINADA,"VERTIENTES, MANANTIAL, ACUIFERO","RECINTO 9 DE MARZO, PARROQUIA GENERAL FARFAN, CANTON LAGO AGRIO",VERTIENTE SN,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,ORGANIZACIONES NO GUBERNAMENTALES,PARTICULAR,NA-NL-000532-111760,NA-NL-000532-2014,2014.0,532.0,0.12,VIGENTE
2020.0,2020-03-05,ORIENTE,NAPO,SUCUMBIOS,2101.0,LAGO AGRIO,GENERAL FARFAN,RURAL,NUEVA LOJA,939488.0,10017340.0,314.0,497496.0,PUTUMAYO,RIO PUTUMAYO,RIO SAN MIGUEL (SUCUMBIOS),NO DETERMINADA,"VERTIENTES, MANANTIAL, ACUIFERO","RECINTO 9 DE MARZO, PARROQUIA GENERAL FARFAN, CANTON LAGO AGRIO",VERTIENTE SN,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,ORGANIZACIONES NO GUBERNAMENTALES,PARTICULAR,NA-NL-000532-111758,NA-NL-000532-2014,2014.0,532.0,2.75,VIGENTE
2020.0,2020-03-06,ORIENTE,NAPO,SUCUMBIOS,2101.0,LAGO AGRIO,GENERAL FARFAN,RURAL,NUEVA LOJA,962892.0,10020965.0,313.0,497496.0,PUTUMAYO,RIO PUTUMAYO,RIO SAN MIGUEL (SUCUMBIOS),NO DETERMINADA,"VERTIENTES, MANANTIAL, ACUIFERO","RECINTO 9 DE MARZO, PARROQUIA GENERAL FARFAN, CANTON LAGO AGRIO",VERTIENTE SN,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,ORGANIZACIONES NO GUBERNAMENTALES,PARTICULAR,NA-NL-000532-111763,NA-NL-000532-2014,2014.0,532.0,0.98,VIGENTE
2020.0,2020-03-06,ORIENTE,NAPO,SUCUMBIOS,2101.0,LAGO AGRIO,GENERAL FARFAN,RURAL,NUEVA LOJA,961922.0,10021000.0,296.0,497496.0,PUTUMAYO,RIO PUTUMAYO,RIO SAN MIGUEL (SUCUMBIOS),NO DETERMINADA,"VERTIENTES, MANANTIAL, ACUIFERO","RECINTO 9 DE MARZO, PARROQUIA GENERAL FARFAN, CANTON LAGO AGRIO",VERTIENTE SN,ACUICULTURA,USO EN GENERAL PARA PISCICOLA,ORGANIZACIONES NO GUBERNAMENTALES,PARTICULAR,NA-NL-000532-111768,NA-NL-000532-2014,2014.0,532.0,2.22,VIGENTE
